danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
0.672,0.517,-10.311,0.15,0.688,0.000468,0.449,0.413,128.016,120693
0.641,0.764,-11.266,0.0486,0.0146,0.682,0.0765,0.272,126.003,232381
0.878,0.666,-8.721,0.343,0.0228,2.63e-06,0.0794,0.367,126.001,162333
0.764,0.787,-10.216,0.0418,0.00243,0.168,0.109,0.267,117.981,164272
0.376,0.506,-11.175,0.166,0.547,0.000245,0.117,0.348,77.812,207268
0.414,0.426,-12.223,0.0351,0.251,0.877,0.0995,0.0394,158.044,187993
0.74,0.839,-8.01,0.0521,0.0752,0.616,0.0746,0.725,129.033,181618
0.877,0.465,-11.719,0.455,0.394,0.00069,0.131,0.323,119.878,153000
0.782,0.5,-6.473,0.0611,0.342,1.88e-05,0.133,0.28,102.008,173611
0.826,0.368,-9.753,0.055,0.501,0.0022,0.114,0.382,111.992,192800
0.673,0.642,-11.907,0.0449,0.326,0.0274,0.109,0.0744,115.973,217367
0.686,0.7,-11.281,0.0663,0.206,0.0374,0.143,0.507,119.953,139558
0.618,0.716,-6.426,0.0268,0.443,0.0213,0.393,0.953,109.98,202914
0.56,0.724,-6.59,0.0274,0.000425,0.495,0.121,0.386,127.016,318420
0.473,0.742,-4.874,0.201,2.95e-05,0.144,0.176,0.645,162.935,177470
0.839,0.434,-10.267,0.33,0.519,3.55e-06,0.196,0.595,159.962,197932
0.753,0.665,-7.771,0.0473,0.279,4.01e-05,0.11,0.593,140.049,249161
0.674,0.571,-10.863,0.0424,0.017,0.128,0.406,0.641,115.314,266435
0.706,0.583,-8.711,0.0502,0.0125,0.828,0.0803,0.0653,106.021,242077
0.776,0.537,-10.769,0.0984,0.00573,0.00163,0.102,0.332,116.041,187759
0.689,0.657,-10.419,0.0449,0.00843,0.459,0.15,0.802,116.872,216600
0.784,0.65,-5.419,0.0283,0.438,0.166,0.135,0.785,110.019,213865
0.726,0.542,-11.18,0.329,0.42,0.00144,0.0962,0.789,89.296,282345
0.586,0.261,-14.328,0.0635,0.918,0.000591,0.0794,0.0746,74.255,194587
0.667,0.547,-12.841,0.0355,0.0364,0.424,0.115,0.182,122.012,269508
0.758,0.524,-11.841,0.0835,0.00314,0.197,0.513,0.501,115.954,196365
0.693,0.734,-7.768,0.0641,0.064,0.00881,0.0507,0.382,108.0,304413
0.787,0.612,-9.456,0.0546,0.0867,0.129,0.099,0.199,124.013,286937
0.769,0.754,-6.716,0.0471,0.0345,0.325,0.081,0.616,118.004,267074
0.848,0.697,-5.814,0.0771,0.0153,0.0206,0.0819,0.964,149.998,241187
0.684,0.789,-6.889,0.0377,0.084,0.00289,0.217,0.411,123.989,205161
0.742,0.405,-3.133,0.0507,0.207,0.223,0.08,0.79,138.077,224800
0.76,0.964,-5.844,0.0577,0.00181,0.703,0.0975,0.643,125.003,248036
0.805,0.779,-6.217,0.0381,0.00182,0.846,0.0831,0.567,125.012,400115
0.814,0.622,-7.573,0.0492,0.000132,0.72,0.0658,0.726,119.976,259934
0.824,0.745,-5.49,0.0755,0.0467,3.29e-05,0.198,0.888,125.013,210547
0.45,0.846,-4.712,0.0472,0.00523,0.0,0.228,0.402,140.042,233667
0.707,0.881,-7.295,0.0525,0.00581,0.0015,0.353,0.854,120.0,340268
0.674,0.731,-5.211,0.133,0.0232,7.99e-06,0.0856,0.507,139.898,219120
0.318,0.836,-5.173,0.0797,0.000751,0.164,0.132,0.382,182.394,256307
0.813,0.983,-5.515,0.153,0.00177,0.546,0.502,0.77,125.007,238080
0.794,0.89,-9.438,0.0431,0.0177,0.468,0.0838,0.77,125.003,236160
0.577,0.883,-6.423,0.0298,0.0259,0.0706,0.118,0.255,122.987,214483
0.67,0.848,-5.103,0.0538,0.00172,0.00168,0.385,0.457,124.031,174122
0.781,0.725,-6.486,0.0615,0.0366,0.00291,0.161,0.619,122.003,151230
0.877,0.62,-9.069,0.0549,0.00406,0.388,0.0549,0.296,120.997,383552
0.522,0.868,-5.307,0.0412,0.0446,1.3e-06,0.635,0.514,173.96,228827
0.421,0.896,-5.696,0.103,0.000174,0.039,0.323,0.169,174.065,304107
0.706,0.74,-7.904,0.0325,0.0245,0.512,0.135,0.444,122.007,223869
0.895,0.561,-7.813,0.0766,0.0209,0.00315,0.199,0.678,125.989,200005
0.8,0.846,-7.518,0.0624,0.0277,0.877,0.0896,0.211,127.008,272395
0.556,0.948,-5.522,0.0886,0.000667,0.103,0.0505,0.505,174.975,250667
0.85,0.755,-6.832,0.0597,0.0136,0.565,0.0216,0.534,124.02,351606
0.764,0.977,-5.729,0.0515,0.00506,0.868,0.66,0.96,126.015,228571
0.766,0.947,-6.097,0.0361,0.00504,0.0513,0.282,0.71,129.973,194308
0.543,0.74,-5.187,0.0557,0.148,0.00358,0.142,0.6,123.915,205773
0.759,0.909,-7.85,0.0373,0.301,0.844,0.0998,0.471,128.188,371533
0.82,0.568,-9.495,0.049,0.00632,0.718,0.0722,0.724,115.988,399310
0.803,0.858,-4.019,0.0538,0.0111,0.096,0.0766,0.862,121.989,158115
0.794,0.896,-1.514,0.0677,0.00371,0.615,0.0876,0.5,125.999,190476
0.912,0.782,-7.018,0.0445,0.0741,0.763,0.348,0.89,119.979,400751
0.868,0.66,-6.079,0.057,0.00454,0.205,0.0843,0.389,125.983,148571
0.961,0.395,-9.789,0.158,0.00075,0.000234,0.0849,0.381,123.046,282598
0.531,0.919,-5.531,0.043,0.000214,0.000846,0.135,0.44,139.945,260427
0.741,0.619,-11.366,0.0514,0.661,0.674,0.125,0.146,126.008,417100
0.779,0.929,-4.734,0.0652,0.00683,0.0,0.146,0.439,125.001,150703
0.484,0.943,-4.364,0.0647,3.77e-05,0.00452,0.593,0.345,143.933,257387
0.852,0.858,-3.759,0.0795,0.113,0.0,0.224,0.824,127.983,204027
0.77,0.966,-6.703,0.0422,0.000438,0.932,0.098,0.349,126.01,505577
0.742,0.947,-4.631,0.0396,0.00104,0.13,0.355,0.592,125.021,195960
0.481,0.839,-2.856,0.0325,0.00153,0.133,0.356,0.0453,173.095,241587
0.614,0.949,-4.948,0.0468,0.00482,0.215,0.298,0.733,118.987,177621
0.833,0.582,-6.987,0.0659,0.053,0.0577,0.108,0.209,125.026,293579
0.647,0.792,-6.391,0.0504,0.16,0.0,0.0624,0.351,122.432,184705
0.823,0.814,-8.723,0.0391,0.0146,0.359,0.138,0.488,133.01,439994
0.69,0.739,-11.513,0.059,0.0127,0.905,0.0744,0.384,125.007,463406
0.793,0.853,-6.303,0.0599,0.000108,0.664,0.032,0.62,120.002,372555
0.68,0.941,-8.093,0.0532,0.000817,0.621,0.0852,0.341,124.035,192200
0.695,0.609,-8.514,0.0353,0.184,0.878,0.0822,0.111,120.011,190750
0.511,0.897,-2.087,0.0324,0.218,0.000142,0.573,0.369,86.994,228969
0.817,0.876,-7.485,0.046,0.0332,0.199,0.412,0.671,131.022,289472
0.582,0.813,-7.443,0.0433,0.143,0.0837,0.349,0.315,133.988,234053
0.815,0.748,-8.74,0.0438,0.00102,0.936,0.0945,0.612,121.002,269800
0.645,0.544,-7.185,0.0346,0.0746,0.621,0.107,0.131,133.986,194186
0.528,0.822,-5.371,0.0287,0.0087,0.192,0.183,0.363,130.013,256899
0.772,0.814,-6.07,0.0825,0.101,0.0033,0.186,0.239,130.876,196031
0.685,0.827,-7.745,0.224,0.138,0.00207,0.374,0.586,133.93,250702
0.703,0.818,-7.905,0.037,0.000569,0.0792,0.0964,0.63,123.009,182750
0.788,0.873,-6.188,0.0431,0.00344,0.311,0.332,0.291,128.004,223537
0.681,0.892,-6.594,0.0454,0.00056,0.856,0.0364,0.46,121.008,269711
0.806,0.7,-7.639,0.0783,0.000113,0.869,0.0832,0.354,129.023,284207
