danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
0.707,0.627,-3.785,0.0383,0.0878,0.0,0.172,0.565,140.993,5f2NZnTWoVO5octUJT95H1,139755
0.8,0.658,-6.142,0.079,0.25,0.0,0.111,0.462,140.042,7hxHWCCAIIxFLCzvDgnQHX,195429
0.778,0.695,-6.865,0.0913,0.175,0.0,0.15,0.472,149.996,6E90gq0KO6FYZVOXx8kCcC,132780
0.716,0.639,-4.622,0.0568,0.189,0.0,0.188,0.689,92.052,6N76WodZTw48txfk4NPDVg,125508
0.746,0.69,-7.956,0.164,0.247,0.0,0.101,0.497,89.977,7ytR5pFWmSjzHJIeQkgog4,181733
0.896,0.586,-6.687,0.0559,0.104,0.0,0.79,0.642,116.971,0nbXyq5TXYPCO7pr3N8S4I,196653
0.755,0.522,-4.368,0.0575,0.533,0.0,0.0685,0.925,89.96,0RiRZpuVRbi7oqRdSMwhQY,157560
0.796,0.602,-8.033,0.252,0.043,0.0,0.105,0.612,105.026,6p8FcYD1qR4e3gbunwQjXH,153145
0.759,0.54,-6.039,0.0287,0.037,0.0,0.0945,0.75,116.947,0TK2YIli7K1leLovkQiNik,190960
0.725,0.793,-4.602,0.048,0.475,0.0,0.145,0.701,88.012,3sLVbScVTALjdWCHoV6ubX,193200
0.817,0.542,-4.86,0.067,0.106,2.65e-06,0.0948,0.675,102.006,2ekwTudJEBmmscSwfCha2K,138404
0.878,0.619,-5.56,0.102,0.0533,0.0,0.113,0.639,136.041,2YpeDb67231RjR0MgVLzsG,157067
0.701,0.425,-10.965,0.375,0.328,0.13,0.1,0.562,135.128,2Fxmhks0bxGSBdJ92vM42m,194088
0.587,0.783,-5.573,0.124,0.0155,7.26e-05,0.391,0.438,109.801,5JbLqcePr1TD2Jtgq62mjm,150545
0.778,0.317,-10.732,0.334,0.592,0.0,0.0881,0.327,140.048,6ocbgoVGwYJhOv1GgI9NsF,178627
0.594,0.533,-8.9,0.0433,0.261,0.0,0.0609,0.479,143.875,5eMUxYy0XTxjwsbWkRneP9,185440
0.687,0.792,-2.749,0.0452,0.191,0.0,0.167,0.671,100.015,2dpaYNEQHiRxtZbfNsse99,214290
0.654,0.76,-3.669,0.045,0.0797,0.0,0.299,0.41,99.945,09CtPGIpYB4BrO8qb1RGsF,200787
0.579,0.904,-2.729,0.0618,0.193,0.0,0.064,0.681,82.014,1rqqCSm0Qe4I9rUvWncaom,190947
0.72,0.706,-4.719,0.0473,0.0684,0.0,0.166,0.62,133.002,7DnAm9FOTWE3cUvso43HhI,187436
0.825,0.652,-3.183,0.0802,0.581,0.0,0.0931,0.931,95.977,7qiZfU4dY1lWllzX7mPBI3,233713
0.748,0.524,-5.599,0.0338,0.414,0.0,0.111,0.661,95.01,7BKLCZ1jbUBVqRi2FVlTVw,244960
0.56,0.68,-7.648,0.321,0.555,0.0,0.116,0.319,89.391,0d2iYfpKoM0QCKvcLCkBao,173800
0.717,0.653,-5.634,0.0658,0.229,0.0,0.101,0.412,106.966,3e9HZxeyfWwjeyPAMmWSSQ,207320
0.656,0.578,-8.97,0.0922,0.235,0.0,0.118,0.556,94.514,3ibKnFDaa3GhpPGlOUj7ff,256733
0.704,0.859,-4.877,0.0996,0.0185,0.0,0.0215,0.926,105.115,3Vo4wInECJQuz9BIBMOu8i,217289
0.705,0.769,-5.526,0.0425,0.113,0.0,0.105,0.583,107.949,22VdIZQfgXJea34mQxlt81,213520
0.393,0.858,-2.868,0.0729,0.00359,0.0,0.102,0.56,176.042,04aAxqtGp5pv12UXAg4pkq,228360
0.599,0.667,-5.768,0.0327,0.126,0.0,0.173,0.554,94.966,2F1zApyalP4l3EP9LNuMcx,142740
0.714,0.8,-4.808,0.0504,0.127,0.0,0.359,0.589,134.002,3Wrjm47oTz2sjIgck11l5e,211560
0.679,0.715,-6.383,0.0407,0.0755,0.0,0.271,0.571,127.435,4Ub8UsjWuewQrPhuepfVpd,214148
0.673,0.886,-4.44,0.0431,0.185,0.0,0.0826,0.795,97.012,4HlFJV71xXKIGcU3kRyttv,216773
0.422,0.264,-7.064,0.0322,0.922,0.0,0.132,0.331,119.93,3U4isOIWM3VvDubwSI3y7a,269560
0.445,0.537,-8.532,0.04,0.695,1.65e-05,0.0944,0.131,122.769,3JvKfv6T31zO0ini8iNItO,244360
0.609,0.378,-9.828,0.438,0.835,0.0,0.28,0.515,100.418,50kpGaPAhYJ3sGmk6vplg0,233720
0.746,0.754,-6.684,0.0676,0.0152,0.0,0.0486,0.746,149.882,3zkWCteF82vJwv0hRLba76,206880
0.748,0.788,-7.055,0.0334,0.0591,0.0,0.0863,0.884,120.076,2iuZJX9X9P0GKaE93xcPjk,235493
0.773,0.758,-4.993,0.0381,0.0422,0.0,0.305,0.925,144.033,18n3RlT0UNcy2yHImHy8IT,224840
0.704,0.558,-7.273,0.0542,0.148,0.0,0.107,0.245,110.444,4lLtanYk6tkMvooU0tWzG8,222091
0.677,0.485,-5.795,0.0361,0.529,2.04e-05,0.0766,0.493,82.001,7795WJLVKJoAyVoOtCWqXN,239317
0.781,0.445,-6.061,0.0295,0.474,0.0,0.184,0.591,78.998,34gCuhDGsG4bRPIf9bb02f,281560
0.572,0.385,-6.362,0.0308,0.371,0.0,0.231,0.323,95.799,2VxeLyX666F8uXCJ0dZF8B,215733
0.62,0.574,-7.788,0.0479,0.569,0.0,0.19,0.357,100.023,5tz69p7tJuGPeMGwNTxYuV,250173
0.666,0.535,-10.376,0.0627,0.0116,0.00204,0.274,0.741,136.991,3xg2H9VTF8uW046sq1Grto,188363
0.762,0.416,-9.994,0.0703,0.252,0.00132,0.106,0.614,110.013,0plbSDugi1FZzzX0A5CmSB,243740
0.716,0.691,-10.101,0.0443,0.0221,0.242,0.107,0.459,115.975,2LHBPXrnwl2A1uwWkR9eZF,253168
0.832,0.759,-4.853,0.0767,0.139,0.0533,0.0875,0.304,117.01,7Kgcz89XMfj4WHtm5nd3mJ,175897
0.808,0.671,-11.575,0.304,0.2,0.115,0.0985,0.768,127.907,1HutpfzBYz0KdSo4TUiaRx,348750
0.789,0.346,-11.7,0.0482,0.388,0.11,0.141,0.805,124.993,5yiXsIhgEhouvwNsNc6XIE,226777
0.723,0.399,-10.57,0.0434,0.0592,0.0883,0.317,0.7,126.093,0TP6kkEvdHXoRWAhW8Urva,215238
0.362,0.483,-11.435,0.111,0.848,0.383,0.343,0.392,173.631,6xf1V275yYwB7nbv8ViGUD,211012
0.67,0.712,-9.483,0.0587,0.152,0.0,0.0854,0.679,115.006,6eowOvcJ7v9OAMzzt9HhPG,171207
0.8,0.794,-8.766,0.05,0.0002,0.873,0.06,0.664,127.989,2EVGocaGZCElznJxqmg2yn,183750
